time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,distance,reward,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
3.18,-4.0297556634,-72.5644967828,56.6862337136,4.1259257441,1.4888012337,6.2177991154,0.09403185,-34.2066891986,22.4858204995,-48.0211997629,48.0395789848,-0.1049729943,86.379682463,22.2265534936,50.9862789377,1500.4652951307,1499.8407743121,50.0161867565
3.24,-4.1118563319,-74.581892901,58.0164711666,1.2443301844,4.3710335642,6.2115146568,-1.8918445202,-33.2184017783,22.1625801278,-48.027798357,48.0257162026,-0.1042788038,88.7972275158,22.4939019709,51.1024064863,1499.9653662979,1500.1236615767,49.4668402223
3.3,-4.1289486506,-76.6080618217,59.3746396321,4.6458239999,0.9700691151,6.205168129,0.4629173472,-34.0010871177,22.7377108304,-48.0221264146,48.0397877098,-0.1089481275,91.2343049068,22.4946587187,50.8504864952,1500.616397986,1499.8928588727,49.9010723194
3.36,-4.193500196,-78.6352667332,60.7098225313,1.7644509323,3.8525232581,6.1985670257,-1.9606513798,-33.3275784958,22.1808856372,-48.0189935549,48.0365319554,-0.1122493362,93.6620345671,22.4953632571,50.2546833044,1500.2788110708,1499.7376437431,50.4072215771
3.42,-4.2366395088,-80.667670257,62.057877114,5.1658740732,0.4514172477,6.1919426065,0.3176078212,-34.5494258769,23.0464465133,-48.049024504,48.0327198751,-0.106955885,96.1001805859,22.229442289,49.3311116972,1500.0305477467,1500.8264339468,50.7027574698
3.48,-4.2741007345,-82.724888642,63.4130781262,2.2827031961,3.3331323561,6.1857075997,-2.0172483597,-33.5741477774,22.6507584024,-48.0649323889,48.0278888212,-0.0984427064,98.5628330195,22.497043679,49.9834663948,1499.8718987706,1501.2024712719,50.7912529723
3.54,-4.3457413186,-84.7513455286,64.7705372077,5.6823695081,6.2145624989,6.1799487021,0.3829505861,-34.3130963778,23.2449718375,-48.0588870693,48.0235901727,-0.0914657331,101.0024147361,22.2313822254,50.032950277,1499.7577569575,1500.8580701431,50.3931723889
3.6,-4.3642124319,-86.8121889806,66.1327466634,2.798742976,2.8125950429,6.1746662392,-1.8763575568,-33.8341419473,22.1342282691,-48.0694632028,48.0212133988,-0.0819492635,103.471192869,22.4990286327,50.9544055029,1499.7422394306,1501.3006678309,49.7668268797
3.66,-4.4566606296,-88.8465213389,67.4771098472,6.1984605995,5.6935253895,6.1698933827,-0.2063281004,-34.3919163059,22.7297219791,-48.0511885965,48.0113425353,-0.0751347071,105.9112096729,22.233318716,51.3391845515,1499.4296342574,1500.5647868586,49.9058343462
3.72,-4.4626209586,-90.9297960108,68.8543066116,3.3158065968,2.2918082505,6.1653566402,-1.176895856,-34.6289384864,22.3200467738,-48.0394772199,48.0365347767,-0.0765866796,108.4065136194,22.5007973063,50.8748669649,1500.4764614184,1500.2718253161,49.9107138042
3.78,-4.5697060589,-92.9678957038,70.2081614743,0.4339700564,5.1742498397,6.1606515775,-0.9828987728,-34.1717541096,22.6384904195,-48.0240266253,48.0453210859,-0.0823563768,110.8554669522,22.5013794594,51.570605857,1500.6489646723,1499.7659206715,50.2119331302
3.84,-4.575581556,-95.044467711,71.5862412098,3.8358769728,1.7736933445,6.1556279055,-0.5556207832,-34.9593494436,22.6556892118,-48.0180205564,48.040390442,-0.086622553,113.3457184696,22.2351842461,50.1564500645,1500.4110342861,1499.7145198085,50.4272302486
3.9,-4.679712965,-97.1012519806,72.9318069561,0.9542763762,4.6556872581,6.1505524625,-1.8059832639,-34.1564998424,22.4926038405,-48.0365278928,48.0167468059,-0.0808098127,115.8057216911,22.5023749745,50.4929779186,1499.5927114754,1500.5159197424,50.6106506466
3.96,-4.703484998,-99.1891610219,74.3138657168,4.354893043,1.254152699,6.1457744991,0.1195109074,-34.9621785604,23.1368339278,-48.0448509487,48.0294395496,-0.0773795575,118.3084348591,22.2364234655,49.4579367432,1500.2523531038,1500.7497202838,50.9335539293
4.02,-4.7950127624,-101.2571274534,75.6744496463,1.4719466958,4.1367950001,6.1411253471,-2.2869570371,-33.9029564405,22.4751107885,-48.0481266672,48.0490536839,-0.077700941,120.7854765436,22.5037573871,49.8860796146,1500.9126200479,1500.8120136628,51.2674361409
4.08,-4.8410239072,-103.3304713489,77.0469022955,4.8717383332,0.7363725906,6.1366203538,0.0544611982,-35.0366665887,23.06073189,-48.0641800546,48.0349488474,-0.0703053357,123.2716874593,22.237710679,50.0665719268,1500.1764955111,1501.3308424641,50.8753217709
4.14,-4.9134291107,-105.4217655757,78.4032742947,1.98846486,3.618880118,6.1323747278,-2.2859133771,-34.3202606467,22.6595867022,-48.0459432779,48.0489518479,-0.0716868737,125.7652510711,22.5050587134,49.6908596006,1500.7114084098,1500.4367504735,51.2181799662
4.2,-4.9925993442,-107.5038383338,79.7736468139,5.3887996768,0.2182421609,6.1281651278,-0.0268966449,-35.3741473463,23.5887101018,-48.0552749249,48.0373477059,-0.0672689676,128.2589688654,22.5056210038,50.5374366425,1500.127912242,1500.8348947473,50.4697299022
4.26,-5.0424858451,-109.6065149055,81.1509982151,2.5064396398,3.1002104002,6.1241153128,-2.4427526577,-34.2652851645,22.6854951523,-48.0332934602,48.0323079961,-0.0679576831,130.7726245062,22.5062064955,50.5072793625,1500.0489625577,1499.9469891933,50.1665004587
4.32,-5.1480260692,-111.6742189033,82.5103520546,5.9080265155,5.9814828673,6.1201442692,-0.1936941818,-35.043075518,23.0997409441,-48.0262685762,48.0058916899,-0.0628529452,133.2493320627,22.2400696416,50.53275348,1499.061163425,1499.856472786,51.1460453622
4.38,-5.185193659,-113.7921749949,83.8824340225,3.0263552837,2.5785965459,6.116484457,-1.9725149703,-34.9887146173,22.2102868891,-48.03525287,48.0083236714,-0.0575227418,135.7724544244,22.5073660885,50.6376994633,1499.4220090515,1500.2913055027,50.1054810339
4.44,-5.3115929145,-115.8741531642,85.2388372867,0.144474658,5.4606130584,6.1129103241,-1.0301643287,-35.0822740816,22.8332402227,-48.0297079318,48.0521119554,-0.0640120928,138.2603161687,22.5078938116,50.3675770445,1501.0738925835,1500.0268142425,50.5302360865
4.5,-5.3418015755,-117.9955615279,86.6282822828,3.545761463,2.0607651718,6.1089818979,-1.356839773,-35.4115087076,22.5794882603,-48.0372756882,48.0595314075,-0.0685696651,140.7955291548,22.508226427,50.5246924786,1501.0646898311,1500.3519392683,49.9208948271
4.56,-5.4779117552,-120.0751878669,87.9788681305,0.6639517611,4.9444966578,6.1047188509,-1.8145189723,-34.7982212951,22.5638570945,-48.0239447488,48.0647864555,-0.0765440954,143.2786171534,22.5085417034,50.1829215704,1501.200564856,1499.8569955624,52.0868255951
4.62,-5.5197269689,-122.1998984433,89.3562636308,4.0656994426,1.5450250512,6.100017608,-0.6833738041,-35.7330321787,22.9037473165,-48.0194795904,48.0524612488,-0.0822456369,145.8104905101,22.2421641929,49.7165781042,1500.8009719717,1499.8563091639,50.567282099
4.68,-5.6471362936,-124.3045673209,90.7113525968,1.1842495654,4.4279689267,6.0950545902,-2.6137654388,-34.6301433813,22.5423706364,-48.0241539032,48.0357952815,-0.0836761495,148.3166816078,22.5092214635,50.3970393815,1500.2488900319,1500.0273159227,50.0426619126
4.74,-5.7101107832,-126.4226592716,92.095691099,4.5856090779,1.0273515898,6.0899941202,-0.3217445377,-35.4627106639,23.1146136465,-48.0321308944,48.0411276934,-0.0857035792,150.8475940792,22.5097459953,50.5743334438,1500.616049567,1500.3207960397,49.5403776524
4.8,-5.825404332,-128.5306960457,93.4510911352,1.7035271211,3.9100601566,6.0847989595,-2.8033679414,-34.6137995951,22.394944732,-48.0323043393,48.0428950895,-0.0884104317,153.3563163788,22.5103212691,51.6723723763,1500.5987675599,1500.2089098442,50.2211119236
4.86,-5.917598923,-130.6455877766,94.815900591,5.1045408629,0.5093248828,6.0795108656,-0.5877183399,-35.9586501283,23.2456735476,-48.0405618213,48.0370119299,-0.0875892179,155.8750287107,22.2442638314,51.3885093168,1500.2461004383,1500.4156426972,50.1030853486
4.92,-6.0104297086,-132.7830989406,96.1822190764,2.2221784254,3.3914079623,6.0742835055,-2.9165679366,-34.8845060445,22.8142792536,-48.0444176178,48.036761896,-0.0862062464,158.413545868,22.5116176811,51.1665291672,1500.2195945193,1500.4621836391,50.3936983311
4.98,-6.1357234675,-134.890454518,97.5513762449,5.6224971406,6.2741670628,6.0691021804,-0.5572569143,-35.7296319711,23.5088678108,-48.0601191207,48.0599132416,-0.0866562328,160.9295662858,22.245641962,51.215238987,1501.1290944809,1501.0673226762,50.7712839085
5.04,-6.2125567265,-137.0271399191,98.9230916066,2.7399221773,2.8742678709,6.0638204204,-2.8869978445,-35.0057868209,22.2992350942,-48.0357507129,48.0531530638,-0.0909280186,163.4697193867,22.5129155584,51.7682078252,1500.7345866599,1500.0555725895,51.4724142135
